Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,Y157511,Y157511 [EJECTOR ROD] ,2017-12-15,5,875,2017-11-22,4375,33715
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2022-06-13,1,2225,2022-05-02,2225,106037
1,695T7001,695T7001 [SCREW ROD],2018-08-16,1,500,2018-07-19,500,46407
1,603S8303,603S8303 [JOINT FOR SPRAYER DC500JMS],2025-01-10,1,320,2024-12-02,320,146375
1,N02477G03,N02477G03 [GUIDE SHAFT],2025-07-11,1,1625,2025-06-02,1625,154765
1,H323581,H323581 [INJECTION BUSHING],2021-11-10,2,1875,2021-10-06,3750,98409
1,N02477G03,N02477G03 [GUIDE SHAFT],2018-07-11,2,1550,2018-05-16,3100,43225
1,S510111,S510111 [TIE BAR NUT ISF ISGS ISDF] S510111 [TIE BAR NUT ISF ISGS ISDF],2023-02-09,1,945,2023-01-05,945,115077
1,Y003999,Y003999 [SPROCKET],2024-08-06,3,135,2024-06-27,405,139589
1,H324098,H324098 [HOLDER],2018-06-27,1,3750,2018-05-16,3750,43231
1,N069221,N069221 [EJECTOR ROD DC2500CS2],2021-11-08,1,2250,2021-10-04,4500,98345
2,N069222,N069222 [EJECTOR ROD],2021-11-08,1,2250,2021-10-04,4500,98345
1,362X6102,362X6102 [BUSHING],2024-07-26,2,2320,2024-06-10,17225,138681
2,362X6101,362X6101 [BUSHING],2024-07-26,2,2320,2024-06-10,17225,138681
3,393T2401,393T2401 [ INJECTION COUPLING DC650REM],2024-07-26,1,2755,2024-06-10,17225,138681
4,414R8312,414R8312[BUSHING],2024-07-26,2,2595,2024-06-10,17225,138681
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2018-06-13,2,250,2018-05-16,500,43227
1,4T122502,4T122502 [LEFT SCREW BOLT],2020-05-29,4,45,2020-04-27,180,77196
1,9W4210G02,9W4210G02 [COOLING PIPE],2019-03-28,3,335,2019-02-28,1005,58175
1,N064799,N064799 [SHAFT],2019-07-31,1,775,2019-06-26,1325,63685
2,Y052732,Y052732 [CASE],2019-07-31,2,275,2019-06-26,1325,63685
1,656T5702,656T5702 [LOCK PLATE],2025-01-10,1,215,2024-12-02,410,146377
2,6W429001,6W429001 [ PLATE ],2025-01-10,1,195,2024-12-02,410,146377
1,Y033451,Y033451 [SHAFT],2024-10-31,1,775,2024-10-14,2825,144206
2,Y020058,Y020058 [P SQUARE KEY],2024-10-31,1,75,2024-10-14,2825,144206
3,H308725,H308725 [FLANGE],2024-10-31,1,1975,2024-10-14,2825,144206
1,699E1901,[EJECTOR PIN 22MM HEX M16X456MM OAL EC110SX],2025-08-22,2,135,2025-07-14,270,156616
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2020-11-25,6,275,2020-10-16,1650,83995
1,S536680,S536680 [CLAMP WEAR STRIP ISGT720 3523MM OAL],2023-09-21,2,725,2023-08-07,1450,124280
1,N064799,N064799 [SHAFT],2017-06-15,2,775,2017-06-08,1737.5,24519
2,Y006297,Y006297 [PIN],2017-06-15,1,187.5,2017-06-08,1737.5,24519
1,N127433,N127433 [SHAFT FOR SAFETY HOOK],2020-11-17,2,765,2020-11-10,2015,84977
2,N060284,N060284 [STOPPER FOR SAFETY HOOK],2020-11-17,1,485,2020-11-10,2015,84977
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2022-05-10,4,375,2022-03-31,1500,104805
1,609T2110,609T2110 [BUSHING],2019-07-23,1,425,2019-06-19,425,63134
1,654V2701,654V2701 [FLANGE ( B )] ,2018-01-12,1,475,2017-12-22,475,35366
1,637R4101,637R4101 [BUSHING],2023-09-08,4,275,2023-08-11,1100,124519
1,Y030066,Y030066 [ROD JOINT] ,2017-12-11,1,315,2017-11-10,315,33071
1,9X541001,9X541001 [KEY],2018-08-13,4,64,2018-07-09,256,45871
1,Y092207,Y092207 [NUT CAP FOR EJECTOR CYLINDER],2023-11-10,1,225,2023-10-06,565,127038
2,Y092206,Y092206 [NUT FOR EJECTOR PISTON],2023-11-10,1,340,2023-10-06,565,127038
1,637R3501,637R3501 [SPROCKET],2019-11-26,3,110,2019-10-22,330,69357
1,S328315,S328315 [CLAMP WEAR STRIP IS3300DE DF 5826MM X 152MM],2024-09-20,2,1875,2024-08-16,5005,141626
2,S677759,S677759 [CLAMP WEAR STRIP 3806 X 178MM ISDG 1450],2024-09-20,2,530,2024-08-16,5005,141626
3,S576432,S576432 [CLAMP WEAR STRIP ISG90],2024-09-20,1,195,2024-08-16,5005,141626
1,9W4210G02,9W4210G02 [COOLING PIPE],2017-06-28,1,335,2017-06-14,520,24900
2,624T0004,624T0004 [SPACER],2017-06-28,1,185,2017-06-14,520,24900
1,608R2201,608R2201 [LOCK PLATE],2021-06-04,6,155,2021-04-30,2128,92318
2,408S4503,408S4503 [ HAND ],2021-06-04,1,599,2021-04-30,2128,92318
3,408S4504,408S4504 [HAND],2021-06-04,1,599,2021-04-30,2128,92318
1,Y006298,Y006298 [BEACASE],2025-09-26,1,350,2025-08-18,350,158405
1,Y052726,Y052726[SPROCKET],2021-03-10,2,470,2021-02-03,2130,88426
2,N031988,N031988 [SHAFT],2021-03-10,2,595,2021-02-03,2130,88426
1,686E1606,686E1606 [BUSHING F/ LINK PIN 2 SMALL EC390SX SXII SXIII],2025-03-28,4,480,2025-02-13,5030,149508
3,TKR0054,TKR0054 [LINK PIN 2 FOR ECN ECNII 350 390],2025-03-28,4,395,2025-02-13,5030,149508
4,TMM0026,TMM0026 [LINK PIN 1 FOR EC250SX SXII],2025-03-28,2,765,2025-02-13,5030,149508
1,4T123401,4T123401 [LADLE PIN] ,2018-04-27,1,63,2018-03-29,63,40538
1,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],2025-06-27,1,355,2025-05-20,355,154217
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] ,2021-01-01,1,2225,2020-12-11,2225,86345
1,637R4912,637R4912 [KEY],2024-04-16,1,50,2024-03-11,680,134291
2,Y152202,Y152202 [SLIDE PLATE DC350R- M],2024-04-16,2,315,2024-03-11,680,134291
1,625W1701,625W1701 [LINK PIN BUSHING] ,2018-03-26,8,625,2018-03-26,5000,40289
1,N031988,N031988 [SHAFT],2019-12-18,1,595,2019-11-14,2440,70410
2,Y033616,Y033616 [SHAFT],2019-12-18,1,520,2019-11-14,2440,70410
3,Y052730,Y052730 [SHAFT],2019-12-18,1,395,2019-11-14,2440,70410
4,Y052725,Y052725[SPROCKET],2019-12-18,1,185,2019-11-14,2440,70410
5,Y052726,Y052726[SPROCKET],2019-12-18,1,470,2019-11-14,2440,70410
7,Y049547,Y049547 [CASE] ,2019-12-18,1,275,2019-11-14,2440,70410
1,Y026064,Y026064[GUIDE SHAFT],2020-12-15,2,75,2020-12-01,150,85857
1,Y033453,Y033453 [ADJUSTING SHAFT],2022-07-12,1,635,2022-06-14,635,107707
